created_at,tweet_txt,sentiment_analysis
2019-04-20 18:53:43,b'RT @RituG15: #HanumanJayanti #EveryVoteForModi #narendramodi #Metooindia  #MensCommission #Bollywood #WeStandWithKhan #IPL2019 \nFake molest\xe2\x80\xa6',Negative
2019-04-20 18:50:52,"b'RT @NewIndianXpress: PM #NarendraModi has promised traders Rs 50-lakh loan without any collateral, credit card facility and a pension schem\xe2\x80\xa6'",Nuetral
2019-04-20 18:50:11,b'RT @gopalkagarwal: Modinomics Part-3 (A) : Financial Inclusion. To understand #NarendraModi #economic policies over the last 5 yrs &amp; its ef\xe2\x80\xa6',Positive
2019-04-20 18:34:28,b'RT @Iamanirudhsethi: We are Buying #NarendraModi #AmitabhBachchan signed cheque or Document\nWe are Buying #Historical Newspapers\nV are Buyi\xe2\x80\xa6',Nuetral
2019-04-20 18:34:14,b'RT @Iamanirudhsethi: We are Buying #NarendraModi #AmitabhBachchan signed cheque or Document\nWe are Buying #Historical Newspapers\nV are Buyi\xe2\x80\xa6',Nuetral
2019-04-20 18:32:12,b'The situation Of #congress in front of #NarendraModi #DCvKXIP #Fun #Comedy #meme #funnymeme #politics #Up #NDA #INC\xe2\x80\xa6 https://t.co/TzT2LR4Shd',Positive
2019-04-20 18:25:47,b'Congress more concerned for vote banks than to patriotism : PM\n#CongressCulture #Congress #PMModi #NarendraModi\xe2\x80\xa6 https://t.co/5biA0syxbD',Positive
2019-04-20 18:19:44,"b'RT @firstpost: ""The world has never pointed a finger at our great culture of thousands of years. These people have done the disgusting sin\xe2\x80\xa6'",Negative
2019-04-20 18:17:28,b'RT @DDNewsLive: \xe2\x80\x98ROUND TABLE\xe2\x80\x99: Watch special discussion on PM #NarendraModi \xe2\x80\x99s interview today at 7 pm only on #DDNews https://t.co/B4T9sTa\xe2\x80\xa6',Positive
2019-04-20 18:10:43,"b'RT @firstpost: ""The world has never pointed a finger at our great culture of thousands of years. These people have done the disgusting sin\xe2\x80\xa6'",Negative
2019-04-20 18:10:04,"b'RT @NewIndianXpress: PM #NarendraModi has promised traders Rs 50-lakh loan without any collateral, credit card facility and a pension schem\xe2\x80\xa6'",Nuetral
2019-04-20 18:06:45,"b'""The world has never pointed a finger at our great culture of thousands of years. These people have done the disgus\xe2\x80\xa6 https://t.co/LzFBqCFiAp'",Positive
2019-04-20 18:03:54,"b'Citing the #modelcodeofconduct for the #LokSabhaElections2019 ,  #ElectionCommissionOfIndia today directed #ErosNow\xe2\x80\xa6 https://t.co/sHFiTTYrwc'",Nuetral
2019-04-20 18:00:49,"b'RT @airnewsalerts: PM #NarendraModi says if he returns to power, corruption, dynastic politics, loot in the name of the poor and politics o\xe2\x80\xa6'",Negative
2019-04-20 17:58:48,b'RT @HRITHIKSAINI1: Will @PMOIndia @narendramodi ji contest #LokSabha Election from a seat in #WestBengal ?? \xf0\x9f\x98\x8a\n#LokSabhaElections2019  #Nare\xe2\x80\xa6',Nuetral
2019-04-20 17:58:40,b'RT @gopalkagarwal: Modinomics Part-3 (A) : Financial Inclusion. To understand #NarendraModi #economic policies over the last 5 yrs &amp; its ef\xe2\x80\xa6',Positive
2019-04-20 17:56:04,b'RT @Iamanirudhsethi: We are Buying #NarendraModi #AmitabhBachchan signed cheque or Document\nWe are Buying #Historical Newspapers\nV are Buyi\xe2\x80\xa6',Nuetral
2019-04-20 17:55:58,"b""This is Akkatangerahal of Belagavi district which is nearer to my village.\nEveryone tells it's a Congress hardcore\xe2\x80\xa6 https://t.co/2TDo0uYtZd""",Nuetral
2019-04-20 17:55:27,"b""Don't use money unwantedly. Aayega toh #Modi e. Please give that advertisements/all politics stuffs money to\xe2\x80\xa6 https://t.co/ZyN1tumGp0""",Nuetral
2019-04-20 17:53:09,"b'@svaradarajan @thewire_in The #ElectionCommission of #India is a body under the control of #AmitShah, #NarendraModi\xe2\x80\xa6 https://t.co/otMzZoNWRV'",Nuetral
2019-04-20 17:52:50,"b'After biopic, #EC bans streaming of web-series on #Modi\n\nhttps://t.co/xbw8vADTXa\n\n#NarendraModi'",Nuetral
2019-04-20 17:52:02,b'Personality cult is anti-democratic\n#Personality #cult #antidemocratic #NarendraModi #Election #PMModi #polluted\xe2\x80\xa6 https://t.co/OnnZHAUNJ8',Nuetral
2019-04-20 17:41:46,b'RT @Dr_Uditraj: Look how Thiruvananthapuram welcomed PM @narendramodi ji ........ #EveryVoteForModi #NarendraModi @BJP4India @BJP4Delhi htt\xe2\x80\xa6',Nuetral
2019-04-20 17:35:31,"b'RT @NewIndianXpress: PM #NarendraModi has promised traders Rs 50-lakh loan without any collateral, credit card facility and a pension schem\xe2\x80\xa6'",Nuetral
2019-04-20 17:35:20,b'RT @DDNewsLive: \xe2\x80\x98ROUND TABLE\xe2\x80\x99: Watch special discussion on PM #NarendraModi \xe2\x80\x99s interview today at 7 pm only on #DDNews https://t.co/B4T9sTa\xe2\x80\xa6',Positive
2019-04-20 17:34:42,"b'RT @airnewsalerts: PM #NarendraModi says if he returns to power, corruption, dynastic politics, loot in the name of the poor and politics o\xe2\x80\xa6'",Negative
2019-04-20 17:34:01,b'RT @gopalkagarwal: Modinomics Part-3 (A) : Financial Inclusion. To understand #NarendraModi #economic policies over the last 5 yrs &amp; its ef\xe2\x80\xa6',Positive
2019-04-20 17:33:42,b'RT @DeeptiSachdeva_: Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these #Elec\xe2\x80\xa6',Nuetral
2019-04-20 17:30:09,b'#NDTVNewsBeeps #ZeeNewsGold #PMO #railway #IndianRailways #NarendraModi #RavishKumar #LokSabhaElections2019\xe2\x80\xa6 https://t.co/iBf3zdcugZ',Nuetral
2019-04-20 17:30:03,b'RT @DDNewsLive: \xe2\x80\x98ROUND TABLE\xe2\x80\x99: Watch special discussion on PM #NarendraModi \xe2\x80\x99s interview today at 7 pm only on #DDNews https://t.co/B4T9sTa\xe2\x80\xa6',Positive
2019-04-20 17:29:42,b'Will @PMOIndia @narendramodi ji contest #LokSabha Election from a seat in #WestBengal ?? \xf0\x9f\x98\x8a\n#LokSabhaElections2019\xe2\x80\xa6 https://t.co/ODUlE5Sh5W',Nuetral
2019-04-20 17:28:57,b'https://t.co/QSGwExdCkr\n\nMy sister has been with Jet airways for over 15 years and this is what she is facing as we\xe2\x80\xa6 https://t.co/83AU133sh6',Nuetral
2019-04-20 17:28:56,b'#NarendraModi slamsn #MamtaBanerjee #ElectionCommissionOfIndia for rigging in #WestBengal #LokSabhaElections2019\xe2\x80\xa6 https://t.co/1fv8K2A1RS',Nuetral
2019-04-20 17:28:26,b'RT @NH_India: #NarendraModi too had accused #HemantKarkare of unprofessional conduct and now by justifying the candidature of the terror ac\xe2\x80\xa6',Nuetral
2019-04-20 17:26:42,"b'@PMOIndia @narendramodi\n\n#India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 was waiting for such leadership (that we got from you), since so long...\xe2\x80\xa6 https://t.co/alabvphAzE'",Nuetral
2019-04-20 17:17:31,"b'RT @firstpost: Employees of #JetAirways have written to President #RamNathKovind and Prime Minister #NarendraModi, seeking their interventi\xe2\x80\xa6'",Nuetral
2019-04-20 17:12:44,b'Modinomics Part-3 (A) : Financial Inclusion. To understand #NarendraModi #economic policies over the last 5 yrs &amp; i\xe2\x80\xa6 https://t.co/0aVRBACuuG',Positive
2019-04-20 17:08:03,b'RT @Iamanirudhsethi: We are Buying #NarendraModi #AmitabhBachchan signed cheque or Document\nWe are Buying #Historical Newspapers\nV are Buyi\xe2\x80\xa6',Nuetral
2019-04-20 17:07:24,"b'RT @airnewsalerts: PM #NarendraModi says if he returns to power, corruption, dynastic politics, loot in the name of the poor and politics o\xe2\x80\xa6'",Negative
2019-04-20 17:07:22,b'RT @airnewsalerts: PM #NarendraModi alleges that Congress party put vote bank politics above national interest while it was in power at Cen\xe2\x80\xa6',Nuetral
2019-04-20 17:05:31,b'@JayarajMenon3 @ProfMKay Modiji will win the election without an iota of doubt. But the heads of people who voted a\xe2\x80\xa6 https://t.co/dDmshkAmPN',Positive
2019-04-20 17:05:04,b'@BJP4India DEAR #NARENDRAMODI &amp; #AMITSHAH #BJP how many more BJP members need to shed their blood &amp; life before you take action against TMC?',Positive
2019-04-20 17:02:38,b'@ndtv @prakashraaj @narendramodi My Book is Available on #Amazon #Kindle\n\nhttps://t.co/iGjiYqzW85 \n\nSacred to Answe\xe2\x80\xa6 https://t.co/tbuC10d2qT',Positive
2019-04-20 17:02:01,b'Attend @AmitShah roadshow ahmedabad @AmitShahOffice\n\ndate-30/3/2019\n\n#LokSabhaElections2019 #NarendraModi\xe2\x80\xa6 https://t.co/sj2UqUOvm0',Nuetral
2019-04-20 17:01:30,b'RT @KubrikStanley: 17 years back #GujaratRiot - The Evolution of Indian Hitler #NarendraModi https://t.co/PMGU1VW7r8',Nuetral
2019-04-20 16:59:35,"b'It may be possible that Muslim ladies are not allowed to vote, as they may vote for #bjp and #NarendraModi for brin\xe2\x80\xa6 https://t.co/0YalySHbDp'",Nuetral
2019-04-20 16:58:36,b'The latest The #WebSeries Daily! https://t.co/IqLvkeCwVe Thanks to @indieactivity @Sanjoym23792161 #webseries #narendramodi',Positive
2019-04-20 16:54:54,b'RT @DeeptiSachdeva_: Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these #Elec\xe2\x80\xa6',Nuetral
2019-04-20 16:53:11,b'RT @_hemanshu_: Best everrr Devang Patel rap on #NarendraModi #AayegaTohModiHi #ModiOnceMore #ModiHiAayega \xe2\x81\xa6@chin80\xe2\x81\xa9 \xe2\x81\xa6@Lord_Gujju\xe2\x81\xa9 \xe2\x81\xa6@Himesh\xe2\x80\xa6',Positive
2019-04-20 16:52:19,b'battle for #odisha #NarendraModi or #navin https://t.co/0yCuuxiXBR',Nuetral
2019-04-20 16:52:11,b'RT @Iamanirudhsethi: We are Buying #NarendraModi #AmitabhBachchan signed cheque or Document\nWe are Buying #Historical Newspapers\nV are Buyi\xe2\x80\xa6',Nuetral
2019-04-20 16:51:25,b'RT @Hitharth: After 52 hours in an entire month it came to this.\nASPIRE.PERSPIRE.INSPIRE.\n#NarendraModi #namo #sketches #pencils #charcoal\xe2\x80\xa6',Nuetral
2019-04-20 16:50:47,b'RT @_hemanshu_: Best everrr Devang Patel rap on #NarendraModi #AayegaTohModiHi #ModiOnceMore #ModiHiAayega \xe2\x81\xa6@chin80\xe2\x81\xa9 \xe2\x81\xa6@Lord_Gujju\xe2\x81\xa9 \xe2\x81\xa6@Himesh\xe2\x80\xa6',Positive
2019-04-20 16:49:04,b'RT @Iamanirudhsethi: We are Buying #NarendraModi #AmitabhBachchan signed cheque or Document\nWe are Buying #Historical Newspapers\nV are Buyi\xe2\x80\xa6',Nuetral
2019-04-20 16:46:16,b'RT @NEWS9TWEETS: #LokSabhaElections: Minister Zameer Ahmed takes a personal dig at PM @narendramodi and #Haveri MP Shivakumar Udasi. #Zamee\xe2\x80\xa6',Nuetral
2019-04-20 16:46:14,"b""Don't waste your vote on TMC and CPIM. Both are united at national platform as part of Mahagathbandhan plus UPA. Do\xe2\x80\xa6 https://t.co/IpS1PWwvlQ""",Negative
2019-04-20 16:45:34,b'Best everrr Devang Patel rap on #NarendraModi #AayegaTohModiHi #ModiOnceMore #ModiHiAayega \xe2\x81\xa6@chin80\xe2\x81\xa9 \xe2\x81\xa6@Lord_Gujju\xe2\x81\xa9\xe2\x80\xa6 https://t.co/9dshtg4yB2',Positive
2019-04-20 16:44:13,b'I asked this question yesterday but not a single chowkidar in my TL answered. So I ask again: \n\nWould you like a da\xe2\x80\xa6 https://t.co/Otf56DTMxr',Positive
2019-04-20 16:43:51,"b""@narendramodi Sh #NarendraModi Ji for God's Sake Pl do not mislead the people of the Country.\nI am certainly an Int\xe2\x80\xa6 https://t.co/XNT7AozAmI""",Positive
2019-04-20 16:41:51,b'RT @DDNewsLive: \xe2\x80\x98ROUND TABLE\xe2\x80\x99: Watch special discussion on PM #NarendraModi \xe2\x80\x99s interview today at 7 pm only on #DDNews https://t.co/B4T9sTa\xe2\x80\xa6',Positive
2019-04-20 16:40:11,b'RT @DeeptiSachdeva_: Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these #Elec\xe2\x80\xa6',Nuetral
2019-04-20 16:40:04,b'PREPRATION OF LOK SABHA 2019 VIJAY VISHWAS BIKE RALLY AT BJP KARALYA WITH YUVA MEMBERS OF TEAM BJYM GANDHIDHAM. \n\nB\xe2\x80\xa6 https://t.co/16ZW8khfwT',Nuetral
2019-04-20 16:39:37,b'Election Commission stops online streaming of web series on PM #NarendraModi #LokSabhaElections2019 \nhttps://t.co/jP4cs2OHKU',Nuetral
2019-04-20 16:39:14,"b'RT @9415Swami: Perhaps no one has given such a clear statement on Kashmir policy, as Prime Minister #NarendraModi has given! Healing touch\xe2\x80\xa6'",Positive
2019-04-20 16:37:54,"b'RT @nyra122333: With #NaMo\xe2\x80\x99s blitzkrieg in #Telangana, the opposition parties especially #AIMIM is resigned to the fact that only #Allah ca\xe2\x80\xa6'",Nuetral
2019-04-20 16:37:19,"b'RT @firstpost: Employees of #JetAirways have written to President #RamNathKovind and Prime Minister #NarendraModi, seeking their interventi\xe2\x80\xa6'",Nuetral
2019-04-20 16:35:56,b'#UniversalAssigmentTimes | Issue - 019 | Date: 22nd April 2019 to 28th April 2019 \n#RahulGandhi #PriyankaGandhi\xe2\x80\xa6 https://t.co/IWzOqfHLnB',Nuetral
2019-04-20 16:31:57,"b'RT @NewIndianXpress: PM #NarendraModi has promised traders Rs 50-lakh loan without any collateral, credit card facility and a pension schem\xe2\x80\xa6'",Nuetral
2019-04-20 16:31:08,b'@TravelA75148805 @ril_md @narendramodi @PadmajaJoshi @suhasinih @Swamy39 @swati_gs @IndianExpress @TimesNow @ndtv W\xe2\x80\xa6 https://t.co/IGtDOxVoXX',Nuetral
2019-04-20 16:30:02,b'RT @_sabanaqvi: In my mind #pragya will be face of #2019LokSabhaElections. Not #NarendraModi.',Nuetral
2019-04-20 16:29:21,b'@TravelA75148805 @ril_md @narendramodi @PadmajaJoshi @suhasinih @Swamy39 @swati_gs @IndianExpress @TimesNow @ndtv\xe2\x80\xa6 https://t.co/l7gTqd8KWd',Nuetral
2019-04-20 16:28:52,"b'RT @airnewsalerts: PM #NarendraModi says if he returns to power, corruption, dynastic politics, loot in the name of the poor and politics o\xe2\x80\xa6'",Negative
2019-04-20 16:25:37,"b'#NarendraModi #amitshah #MamtaBanerjee ""Bengal Is Like Bihar Of 10-15 Years Back"": State\'s Special Poll Observer -\xe2\x80\xa6 https://t.co/lEo3vnBPnR'",Positive
2019-04-20 16:22:39,b'RT @tmcforindia: @KOLLEO @anup071254 @VijayDass7 @mousumib297 @AITCofficial @TMC_Supporters @abarTMC @Truth_of_WB @parthagee @abishekbagchi\xe2\x80\xa6',Nuetral
2019-04-20 16:22:09,"b'RT @airnewsalerts: PM #NarendraModi says if he returns to power, corruption, dynastic politics, loot in the name of the poor and politics o\xe2\x80\xa6'",Negative
2019-04-20 16:19:58,b'RT @Iamanirudhsethi: We are Buying #NarendraModi #AmitabhBachchan signed cheque or Document\nWe are Buying #Historical Newspapers\nV are Buyi\xe2\x80\xa6',Nuetral
2019-04-20 16:19:41,"b""RT @sophy00700: Today I heard NaMo bragging how he has saved homebuyers from unscrupulous builders who don't complete flats or deliver subs\xe2\x80\xa6""",Positive
2019-04-20 16:18:33,"b'RT @NH_India: During his rule as the Chief Minister from 2002 to 2014, #NarendraModi established himself as a master of razzmatazz events,\xe2\x80\xa6'",Nuetral
2019-04-20 16:14:51,b'RT @DeeptiSachdeva_: Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these #Elec\xe2\x80\xa6',Nuetral
2019-04-20 16:11:51,b'RT @DeeptiSachdeva_: Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these #Elec\xe2\x80\xa6',Nuetral
2019-04-20 16:11:49,b'RT @DeeptiSachdeva_: Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these #Elec\xe2\x80\xa6',Nuetral
2019-04-20 16:10:45,b'RT @tmcforindia: @KOLLEO @anup071254 @VijayDass7 @mousumib297 @AITCofficial @TMC_Supporters @abarTMC @Truth_of_WB @parthagee @abishekbagchi\xe2\x80\xa6',Nuetral
2019-04-20 16:09:47,b'RT @freewelfare1: Delhi Elections 2019: Broom plus Palm will collapse\nLotus will spread the fragrance\nHOW CAN DELHI CM PROMISE TO MAKE DELH\xe2\x80\xa6',Nuetral
2019-04-20 16:09:33,b'RT @DDNewsLive: \xe2\x80\x98ROUND TABLE\xe2\x80\x99: Watch special discussion on PM #NarendraModi \xe2\x80\x99s interview today at 7 pm only on #DDNews https://t.co/B4T9sTa\xe2\x80\xa6',Positive
2019-04-20 16:06:50,b'Delhi Elections 2019: Broom plus Palm will collapse\nLotus will spread the fragrance\nHOW CAN DELHI CM PROMISE TO MAK\xe2\x80\xa6 https://t.co/7BMmB96BMz',Nuetral
2019-04-20 16:04:04,b'RT @DeeptiSachdeva_: Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these #Elec\xe2\x80\xa6',Nuetral
2019-04-20 16:02:23,b'@jayantrld It\xe2\x80\x99s always sensible to compete with self. It\xe2\x80\x99s sickness to compete with others and comparing with other\xe2\x80\xa6 https://t.co/cZ9eq3BCce',Nuetral
2019-04-20 16:02:21,b'RT @DeeptiSachdeva_: Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these #Elec\xe2\x80\xa6',Nuetral
2019-04-20 16:01:20,b'RT @NehaShalini2: Neha Shalini dua president Neha foundation taking workshop good touch &amp;bad touch at slumShankar garden under #newindia ca\xe2\x80\xa6',Positive
2019-04-20 16:00:01,b'RT @DeeptiSachdeva_: Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these #Elec\xe2\x80\xa6',Nuetral
2019-04-20 15:58:47,b'Will @narendramodi contest Lok Sabha polls from a seat in West Bengal?\n\nCould this be the turning point of these\xe2\x80\xa6 https://t.co/G7j4T8B1ly',Nuetral
2019-04-20 15:58:27,b'RT @tmcforindia: @KOLLEO @anup071254 @VijayDass7 @mousumib297 @AITCofficial @TMC_Supporters @abarTMC @Truth_of_WB @parthagee @abishekbagchi\xe2\x80\xa6',Nuetral
2019-04-20 15:56:18,b'Will called  NCW take cognizance of this affidavit. I  hope  this will be take by NCW  and it should not be afraid\xe2\x80\xa6 https://t.co/2wJVbpUX67',Nuetral
2019-04-20 15:55:48,"b'Can anyone explain HOW RAHUL GANDHI THINKS HE CAN REPLACE THE LION OF INDIA ""NARENDRA MODI""\nFrom where Rahul Gandhi\xe2\x80\xa6 https://t.co/p6AwomwsK4'",Nuetral
2019-04-20 15:55:14,b'RT @tmcforindia: @KOLLEO @anup071254 @VijayDass7 @mousumib297 @AITCofficial @TMC_Supporters @abarTMC @Truth_of_WB @parthagee @abishekbagchi\xe2\x80\xa6',Nuetral
2019-04-20 15:54:34,"b'This election prove your blood...No matter what happens, vote for India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\n#ElectionCommissionOfIndia\xe2\x80\xa6 https://t.co/dcu6GUSmdP'",Nuetral
2019-04-20 15:51:08,b'@PawarSpeaks what ever #narendramodi wil do only for nation not like #Gathbandhan leaders only concerned towards ow\xe2\x80\xa6 https://t.co/4H7zHfl9eO',Nuetral
