created_at,tweet_txt,sentiment_analysis
2019-04-20 23:27:20,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:24:56,b'RT @SandipGhose: Why is this man speaking so much? Earlier #RahulGandhi wanted him as President (when @CitiznMukherjee was chosen at UPA Al\xe2\x80\xa6',Nuetral
2019-04-20 23:23:18,b'RT @rameshnswamy: Dr @Swamy39 Press Conference exposing #RahulGandhi on his UK Citizenship in 2015\n\nhttps://t.co/DvSyB9vgDB\n\n#DrSwamyAlways\xe2\x80\xa6',Nuetral
2019-04-20 23:22:49,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:22:48,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:22:06,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:20:47,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:19:49,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:19:02,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:18:58,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:16:47,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 23:16:18,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:15:23,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 23:15:16,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:15:04,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:13:17,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:13:12,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:13:00,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:12:59,b'RT @amaravindm9: @Aabhas24 @nramind @TimesNow @SunilAmbekarM @amritabhinder @pradip103 @anujdhar @davidfrawleyved @BJP4India @M_Lekhi @suna\xe2\x80\xa6',Nuetral
2019-04-20 23:12:39,b'Dr @Swamy39 Press Conference exposing #RahulGandhi on his UK Citizenship in 2015\n\nhttps://t.co/DvSyB9vgDB\xe2\x80\xa6 https://t.co/6IZrvBotGC',Nuetral
2019-04-20 23:12:20,b'RT @chitraSD: #Amethi. Returning officer postpones scrutiny of #RahulGandhi\xe2\x80\x99s  nomination papers till Monday. #Cambridge analysis and your\xe2\x80\xa6',Nuetral
2019-04-20 23:09:02,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:08:44,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:08:37,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:08:36,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:08:13,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:07:18,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:06:52,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:06:51,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:06:04,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:05:39,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:04:34,b'RT @IamReshmaKhan: These 2 documents says\n@RahulGandhi is a Fraud.\n\n#RahulGandhi\nName: Fake \nCaste: Fake \nReligion: Fake \nEducation: Fake\xe2\x80\xa6',Negative
2019-04-20 23:04:23,b'RT @rgsingh09: #RahulGandhi whom you are fooling. It is not 1970s. that you fool indian. It is new INDIA. Yeh ghar mai bhi ghusega aur mare\xe2\x80\xa6',Positive
2019-04-20 23:04:21,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:02:55,b'RT @rgsingh09: #RahulGandhi whom you are fooling. It is not 1970s. that you fool indian. It is new INDIA. Yeh ghar mai bhi ghusega aur mare\xe2\x80\xa6',Positive
2019-04-20 23:02:52,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:02:45,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:01:21,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 23:00:01,"b""RT TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Di\xe2\x80\xa6 https://t.co/uA5qIAo8tW""",Nuetral
2019-04-20 22:59:42,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:59:38,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:59:35,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:59:18,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:58:53,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:58:46,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:58:19,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:56:31,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:56:23,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:55:52,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 22:55:30,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:55:12,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:55:11,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:54:55,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:53:57,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:52:17,b'RT @chitraSD: #Amethi. Returning officer postpones scrutiny of #RahulGandhi\xe2\x80\x99s  nomination papers till Monday. #Cambridge analysis and your\xe2\x80\xa6',Nuetral
2019-04-20 22:51:31,"b""RT @TheRealMukeshK: Here is UK #CompaniesHouse filing by Mr #RahulGandhi's company (Now defunct) showing him as a Director &amp; #BritishCitize\xe2\x80\xa6""",Nuetral
2019-04-20 22:51:31,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 22:47:39,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 22:45:48,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 22:13:37,"b'Howcome, #RahulGandhi escaped being caught regarding his #DualCitizenship since 2004 ?\nMaybe, he has purposely reve\xe2\x80\xa6 https://t.co/FyVFgOqRrF'",Nuetral
2019-04-20 22:09:01,"b""RT @sbajpai2806: 'Citizenship likely to be cancelled': @Swamy39 says #RahulGandhi filed IT returns in UK as Brit citizen while MP in India\xe2\x80\xa6""",Nuetral
2019-04-20 22:08:56,"b'RT @a09ea2180ded422: When #RahulGandhi loses his Indian citizenship, he will not be able to contest #LokSabhaElection2019 ;\nso, #Congress w\xe2\x80\xa6'",Positive
2019-04-20 22:08:09,"b'When #RahulGandhi loses his Indian citizenship, he will not be able to contest #LokSabhaElection2019 ;\nso,\xe2\x80\xa6 https://t.co/CBUle4RUSE'",Positive
2019-04-20 22:01:18,b'RT @chitraSD: #Amethi. Returning officer postpones scrutiny of #RahulGandhi\xe2\x80\x99s  nomination papers till Monday. #Cambridge analysis and your\xe2\x80\xa6',Nuetral
2019-04-20 21:57:48,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 21:56:56,b'RT @MadhuMishra_: @narendramodi These 2 documents says\n@RahulGandhi is a Fraud.\n\n#RahulGandhi\nName: Fake \nCaste: Fake \nReligion: Fake \nEduc\xe2\x80\xa6',Negative
2019-04-20 21:47:02,"b'RT @Suumandey: #BuddhuExposed \n\n""Raul Vinci"" is a Liar, question over his Indian Citizenship &amp; Educational Qualification..\n\nReturning Offic\xe2\x80\xa6'",Positive
2019-04-20 21:31:03,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 21:29:51,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 21:27:01,b'RT @Divya4adi: #Rahulgandhi can u tell me why should I vote u what is your qualification.  @devatheangel @indiankitpandey @surenkumar90',Nuetral
2019-04-20 21:20:42,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 21:20:03,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 21:15:52,b'RT @ShipraB89009638: #RahulCitizenshipControversy \nSo finally \xe0\xa4\xaa\xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xaa\xe0\xa5\x82 #RahulGandhi  is getting exposed. As per law if it is found to be true\xe2\x80\xa6',Nuetral
2019-04-20 21:12:18,"b'RT @venkymadurai: @MaheshJoshi_MJ @Swamy39 @pGurus1 https://t.co/ZyzzghFJ0H\n\nIf what Anantkumar Hegde says above is true, it makes perfect\xe2\x80\xa6'",Positive
2019-04-20 21:08:20,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 21:05:03,b'RT @chitraSD: #Amethi. Returning officer postpones scrutiny of #RahulGandhi\xe2\x80\x99s  nomination papers till Monday. #Cambridge analysis and your\xe2\x80\xa6',Nuetral
2019-04-20 21:04:19,b'I strongly condemn this kind of false and anti-hindu targeted propaganda and demand immediate action against\xe2\x80\xa6 https://t.co/zbw7uMa7Mv',Positive
2019-04-20 20:53:37,b'@timesofindia #RahulGandhi whom you are fooling. It is not 1970s. that you fool indian. It is new INDIA. Yeh ghar m\xe2\x80\xa6 https://t.co/efr79QoNwh',Positive
2019-04-20 20:50:18,b'@timesofindia Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi af\xe2\x80\xa6 https://t.co/w3UaCKGE5b',Nuetral
2019-04-20 20:50:18,b'RT @Advocat27001829: @RituG15 @ajaydevgn If a man is boycotted on the basis on merely unproven allegations of molestation then it will enco\xe2\x80\xa6',Negative
2019-04-20 20:50:07,b'RT @MadhuMishra_: @narendramodi These 2 documents says\n@RahulGandhi is a Fraud.\n\n#RahulGandhi\nName: Fake \nCaste: Fake \nReligion: Fake \nEduc\xe2\x80\xa6',Negative
2019-04-20 20:41:02,b'RT @legallyFoodiee: #RahulGandhi aka #raulvinci matter hearing on 22 April 19 @10.30am.\n#RahulCitizenshipControversy has just picked up. Mo\xe2\x80\xa6',Nuetral
2019-04-20 20:40:59,b'RT @chitraSD: #Amethi. Returning officer postpones scrutiny of #RahulGandhi\xe2\x80\x99s  nomination papers till Monday. #Cambridge analysis and your\xe2\x80\xa6',Nuetral
2019-04-20 20:37:38,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 20:36:25,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 20:35:04,b'the thread which reveals the \nnames of #courtfixer ...\n\nNexus behind the hearing of #Rafael #Ramtemple #Judge_Loya\xe2\x80\xa6 https://t.co/npSZSXAQBt',Negative
2019-04-20 20:34:36,b'RT @rgsingh09: #RahulGandhi whom you are fooling. It is not 1970s. that you fool indian. It is new INDIA. Yeh ghar mai bhi ghusega aur mare\xe2\x80\xa6',Positive
2019-04-20 20:31:49,b'#RahulCitizenshipControversy \nSo finally \xe0\xa4\xaa\xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xaa\xe0\xa5\x82 #RahulGandhi  is getting exposed. As per law if it is found to be tr\xe2\x80\xa6 https://t.co/CfjcTQ93Ds',Nuetral
2019-04-20 20:28:29,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 20:27:43,"b""RT @indiaonlinepoll: Let's Change 4 a Change, Lets Vote 4 a Better India. Dont Not Miss Ur Vote &amp; Ur Family Vote. @narendramodi @RahulGandh\xe2\x80\xa6""",Positive
2019-04-20 20:27:05,b'RT @MadhuMishra_: @narendramodi These 2 documents says\n@RahulGandhi is a Fraud.\n\n#RahulGandhi\nName: Fake \nCaste: Fake \nReligion: Fake \nEduc\xe2\x80\xa6',Negative
2019-04-20 20:21:09,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 20:21:00,b'RT @SandipGhose: The best part of both #RahulGandhi and #PriyankaGandhi campaigning in tandem is - if even that doesn\xe2\x80\x99t boost Congress\xe2\x80\x99 tal\xe2\x80\xa6',Positive
2019-04-20 20:18:53,"b'RT @Suumandey: #RahulCitizenshipControversy\n\nBuddhu Exposed\n\n""Raul Vinci"" is a Liar, question over his Indian Citizenship &amp; educational qua\xe2\x80\xa6'",Positive
2019-04-20 20:14:54,b'RT @IamReshmaKhan: These 2 documents says\n@RahulGandhi is a Fraud.\n\n#RahulGandhi\nName: Fake \nCaste: Fake \nReligion: Fake \nEducation: Fake\xe2\x80\xa6',Negative
2019-04-20 20:14:42,b'RT @rgsingh09: #RahulGandhi whom you are fooling. It is not 1970s. that you fool indian. It is new INDIA. Yeh ghar mai bhi ghusega aur mare\xe2\x80\xa6',Positive
2019-04-20 20:14:24,"b'RT @Suumandey: #RahulCitizenshipControversy\n\nBuddhu Exposed\n\n""Raul Vinci"" is a Liar, question over his Indian Citizenship &amp; educational qua\xe2\x80\xa6'",Positive
2019-04-20 20:12:01,b'RT @MadhuMishra_: @narendramodi These 2 documents says\n@RahulGandhi is a Fraud.\n\n#RahulGandhi\nName: Fake \nCaste: Fake \nReligion: Fake \nEduc\xe2\x80\xa6',Negative
2019-04-20 20:11:26,b'It is a very good candid video of @RahulGandhi He should make such videos more often. They are appealing to masses.\xe2\x80\xa6 https://t.co/JPc2fBJP4b',Positive
2019-04-20 20:08:52,b'RT @RealPriyankP: Did @RahulGandhi vote for brexit? \n\n@Swamy39 \n\n #Citizenship #RahulGandhi #Buddhu #Brexit \n#RahulCitizenshipControversy #\xe2\x80\xa6',Nuetral
2019-04-20 20:08:18,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 20:07:43,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 20:07:25,b'RT @rgsingh09: #RahulGandhi whom you are fooling. It is not 1970s. that you fool indian. It is new INDIA. Yeh ghar mai bhi ghusega aur mare\xe2\x80\xa6',Positive
2019-04-20 20:06:15,"b""RT @ToTheePoint: #RaulVinci ya #RahulGandhi ya #Pappu ya Buddhu....No matter what name you use, you'll still be a fraud, a criminal lying a\xe2\x80\xa6""",Negative
2019-04-20 20:05:34,b'Did @RahulGandhi vote for brexit? \n\n@Swamy39 \n\n #Citizenship #RahulGandhi #Buddhu #Brexit\xe2\x80\xa6 https://t.co/ATk2BRrCvV',Nuetral
2019-04-20 20:05:33,"b'RT @ToTheePoint: #RaulVinci ya #RahulGandhi?\n\nItalian, British ya Indian citizen?\n\n2004 Non graduate vs 2019 Graduate?\n\n#RahulCitizenshipCo\xe2\x80\xa6'",Nuetral
2019-04-20 20:05:11,"b'RT @Suumandey: #BuddhuExposed \n\n""Raul Vinci"" is a Liar, question over his Indian Citizenship &amp; Educational Qualification..\n\nReturning Offic\xe2\x80\xa6'",Positive
2019-04-20 20:03:56,"b""RT @DeeptiSachdeva_: Is he #RahulGandhi or #RaulVinci?\n\nIs he an INDIAN citizen or BRITISH?\n\nHas he lied in his #Amethi affidavit as it's b\xe2\x80\xa6""",Nuetral
2019-04-20 20:03:50,b'RT @MadhuMishra_: @narendramodi These 2 documents says\n@RahulGandhi is a Fraud.\n\n#RahulGandhi\nName: Fake \nCaste: Fake \nReligion: Fake \nEduc\xe2\x80\xa6',Negative
